# SAP S/4HANA - Transaction SM20
# Report:   Privileged User Operation Log (BASIS/ALL_READ)
# Target:   IT001(E0051)岡田 宏, IT002(E0052)吉田 雅彦
# Period:   FY2025 (2025/04/01 - 2026/03/31) 12ヶ月分
# Export:   2026-04-05 08:30:00 JST

タイムスタンプ,ユーザID(SAP),ユーザID(社員番号),トランザクション,対象,結果,事前申請/区分
2025-08-11 10:41:04,IT002,E0052,SE38,ABAP実行,正常,事前申請WF-IT-2025-092
2025-08-25 11:17:24,IT001,E0051,DB13,DBバックアップ確認,正常,恒常業務
2025-08-26 16:03:38,IT001,E0051,SU01,ユーザマスタ確認,正常,棚卸支援
2025-09-10 10:47:31,IT001,E0051,ST22,ダンプ分析,正常,恒常業務
2025-09-14 13:04:47,IT001,E0051,SE38,ABAP実行,正常,事前申請WF-IT-2025-093
2025-09-07 19:08:05,IT001,E0051,SE38,ABAP実行,正常,事前申請WF-IT-2025-094
2025-09-22 11:31:06,IT001,E0051,SM59,RFC接続テスト,正常,事前申請WF-IT-2025-095
2025-09-20 11:23:30,IT001,E0051,SM59,RFC接続テスト,正常,事前申請WF-IT-2025-096
2025-09-12 18:16:48,IT002,E0052,SM51,サーバ起動停止,正常,事前申請WF-IT-2025-097
2025-09-16 16:56:06,IT001,E0051,SM37,バッチジョブ確認,正常,恒常業務
2025-09-14 11:02:51,IT002,E0052,SU01,ユーザマスタ確認,正常,棚卸支援
2025-10-23 09:23:39,IT002,E0052,SM59,RFC接続テスト,正常,事前申請WF-IT-2025-098
2025-10-01 13:16:43,IT001,E0051,SM37,バッチジョブ確認,正常,恒常業務
2025-10-21 12:50:01,IT001,E0051,SU01,ユーザマスタ確認,正常,棚卸支援
2025-10-12 11:00:20,IT001,E0051,STMS,移送管理,正常,変更REL-2025-009
2025-10-11 15:50:00,IT001,E0051,SU01,ユーザマスタ確認,正常,棚卸支援
2025-10-15 13:25:19,IT002,E0052,SM59,RFC接続テスト,正常,事前申請WF-IT-2025-099
2025-10-27 19:54:13,IT001,E0051,STMS,移送管理,正常,変更REL-2025-011
2025-10-23 11:59:57,IT001,E0051,SU01,ユーザマスタ確認,正常,棚卸支援
2025-11-08 16:14:23,IT001,E0051,SM51,サーバ起動停止,正常,事前申請WF-IT-2025-100
2025-11-19 11:34:37,IT001,E0051,SE38,ABAP実行,正常,事前申請WF-IT-2025-101
2025-11-07 16:21:00,IT001,E0051,DB13,DBバックアップ確認,正常,恒常業務
2025-11-14 14:27:29,IT001,E0051,SM37,バッチジョブ確認,正常,恒常業務
2025-11-24 08:45:00,IT001,E0051,SM51,サーバ起動停止,正常,事前申請WF-IT-2025-102
2025-11-15 10:02:21,IT001,E0051,RZ20,システム監視,正常,恒常業務
2025-11-06 17:27:24,IT002,E0052,ST22,ダンプ分析,正常,恒常業務
2025-11-09 19:19:41,IT002,E0052,SM51,サーバ起動停止,正常,事前申請WF-IT-2025-103
2025-11-23 13:26:10,IT001,E0051,RZ20,システム監視,正常,恒常業務
2025-12-11 10:36:23,IT002,E0052,DB13,DBバックアップ確認,正常,恒常業務
2025-12-03 09:43:34,IT002,E0052,ST22,ダンプ分析,正常,恒常業務
2025-12-12 08:57:12,IT002,E0052,SM37,バッチジョブ確認,正常,恒常業務
2025-12-07 12:53:07,IT001,E0051,DB13,DBバックアップ確認,正常,恒常業務
2025-12-04 11:21:05,IT002,E0052,SM21,システムログ,正常,恒常業務
2025-12-11 17:24:07,IT002,E0052,SM51,サーバ起動停止,正常,事前申請WF-IT-2025-104
2025-12-20 19:26:14,IT002,E0052,SM21,システムログ,正常,恒常業務
2026-01-16 18:05:46,IT001,E0051,SM51,サーバ起動停止,正常,事前申請WF-IT-2025-105
2026-01-03 16:52:15,IT002,E0052,ST22,ダンプ分析,正常,恒常業務
2026-01-13 16:34:48,IT002,E0052,SU01,ユーザマスタ確認,正常,棚卸支援
2026-01-05 14:52:31,IT002,E0052,DB13,DBバックアップ確認,正常,恒常業務
2026-01-09 12:06:19,IT002,E0052,SM37,バッチジョブ確認,正常,恒常業務
2026-01-10 10:19:18,IT002,E0052,SM51,サーバ起動停止,正常,事前申請WF-IT-2025-106
2026-01-16 13:47:30,IT002,E0052,SM37,バッチジョブ確認,正常,恒常業務
2026-01-20 15:56:37,IT001,E0051,STMS,移送管理,正常,変更REL-2025-013
2026-02-02 17:06:25,IT001,E0051,DB13,DBバックアップ確認,正常,恒常業務
2026-02-10 09:53:03,IT001,E0051,ST22,ダンプ分析,正常,恒常業務
2026-02-23 15:22:37,IT001,E0051,STMS,移送管理,正常,変更REL-2025-015
2026-02-11 15:42:14,IT001,E0051,SM37,バッチジョブ確認,正常,恒常業務
2026-02-12 11:40:48,IT001,E0051,SM21,システムログ,正常,恒常業務
2026-02-24 14:52:33,IT002,E0052,ST22,ダンプ分析,正常,恒常業務
2026-02-09 17:45:01,IT002,E0052,ST22,ダンプ分析,正常,恒常業務
2026-02-09 18:18:30,IT001,E0051,SM51,サーバ起動停止,正常,事前申請WF-IT-2025-107
2026-02-01 16:16:03,IT002,E0052,SM21,システムログ,正常,恒常業務
2026-03-07 17:02:38,IT001,E0051,SM21,システムログ,正常,恒常業務
2026-03-27 08:30:08,IT001,E0051,STMS,移送管理,正常,変更REL-2025-017
2026-03-09 16:02:55,IT001,E0051,RZ20,システム監視,正常,恒常業務
2026-03-13 19:09:23,IT002,E0052,SM37,バッチジョブ確認,正常,恒常業務
2026-03-27 11:16:49,IT002,E0052,SM21,システムログ,正常,恒常業務
2026-03-17 19:40:18,IT001,E0051,SM37,バッチジョブ確認,正常,恒常業務
2026-03-11 10:09:45,IT002,E0052,SM37,バッチジョブ確認,正常,恒常業務
2026-03-12 17:35:34,IT002,E0052,ST22,ダンプ分析,正常,恒常業務
2026-03-01 12:52:30,IT001,E0051,SM37,バッチジョブ確認,正常,恒常業務
2026-03-14 13:41:26,IT001,E0051,SM21,システムログ,正常,恒常業務

# Records: 96
