# Report:   SAP HANA Backup Detail Log (per component per phase)
# Source:   HANA backint + DBACOCKPIT backup catalog
# Period:   FY2025 sampled 25 days
# Export:   2026-02-19 08:00:00 JST
タイムスタンプ,バックアップID,バックアップ種別,コンポーネント,システム,コンポーネント名,フェーズ,サイズGB,所要秒数,ログメッセージ,実行ユーザ
2025-05-31 01:07:00,BK_20250531_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-05-31 02:30:00,BK_20250531_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1518.4,4980,Data Volume backup completed successfully,SAP_BASIS
2025-05-31 02:31:00,BK_20250531_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-05-31 02:46:00,BK_20250531_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,218.0,900,Log Volume backup completed successfully,SAP_BASIS
2025-05-31 02:47:00,BK_20250531_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-05-31 02:52:00,BK_20250531_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,3.7,300,Backup Catalog backup completed successfully,SAP_BASIS
2025-05-31 02:53:00,BK_20250531_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-06-15 01:05:00,BK_20250615_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-06-15 01:07:00,BK_20250615_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-06-15 02:24:00,BK_20250615_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1478.8,4620,Data Volume backup completed successfully,SAP_BASIS
2025-06-15 02:25:00,BK_20250615_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-06-15 02:41:00,BK_20250615_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,210.4,960,Log Volume backup completed successfully,SAP_BASIS
2025-06-15 02:42:00,BK_20250615_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-06-15 02:49:00,BK_20250615_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,2.0,420,Backup Catalog backup completed successfully,SAP_BASIS
2025-06-15 02:50:00,BK_20250615_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-07-01 01:02:00,BK_20250701_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-07-01 01:04:00,BK_20250701_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-07-01 02:20:00,BK_20250701_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1478.8,4560,Data Volume backup completed successfully,SAP_BASIS
2025-07-01 02:21:00,BK_20250701_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-07-01 02:32:00,BK_20250701_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,168.6,660,Log Volume backup completed successfully,SAP_BASIS
2025-07-01 02:33:00,BK_20250701_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-07-01 02:36:00,BK_20250701_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,2.8,180,Backup Catalog backup completed successfully,SAP_BASIS
2025-07-01 02:37:00,BK_20250701_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-07-16 01:03:00,BK_20250716_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-07-16 01:05:00,BK_20250716_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-07-16 02:37:00,BK_20250716_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1794.4,5520,Data Volume backup completed successfully,SAP_BASIS
2025-07-16 02:38:00,BK_20250716_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-07-16 02:51:00,BK_20250716_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,163.4,780,Log Volume backup completed successfully,SAP_BASIS
2025-07-16 02:52:00,BK_20250716_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-07-16 02:55:00,BK_20250716_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,4.9,180,Backup Catalog backup completed successfully,SAP_BASIS
2025-07-16 02:56:00,BK_20250716_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-07-31 01:05:00,BK_20250731_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-07-31 01:07:00,BK_20250731_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-07-31 02:37:00,BK_20250731_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1670.2,5400,Data Volume backup completed successfully,SAP_BASIS
2025-07-31 02:38:00,BK_20250731_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-07-31 02:53:00,BK_20250731_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,188.5,900,Log Volume backup completed successfully,SAP_BASIS
2025-07-31 02:54:00,BK_20250731_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-07-31 02:58:00,BK_20250731_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,2.1,240,Backup Catalog backup completed successfully,SAP_BASIS
2025-07-31 02:59:00,BK_20250731_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-08-15 01:03:00,BK_20250815_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-08-15 01:05:00,BK_20250815_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-08-15 02:23:00,BK_20250815_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1407.0,4680,Data Volume backup completed successfully,SAP_BASIS
2025-08-15 02:24:00,BK_20250815_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-08-15 02:35:00,BK_20250815_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,174.3,660,Log Volume backup completed successfully,SAP_BASIS
2025-08-15 02:36:00,BK_20250815_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-08-15 02:39:00,BK_20250815_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,3.5,180,Backup Catalog backup completed successfully,SAP_BASIS
2025-08-15 02:40:00,BK_20250815_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-08-30 01:02:00,BK_20250830_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-08-30 01:04:00,BK_20250830_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-08-30 02:27:00,BK_20250830_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1571.6,4980,Data Volume backup completed successfully,SAP_BASIS
2025-08-30 02:28:00,BK_20250830_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-08-30 02:40:00,BK_20250830_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,165.7,720,Log Volume backup completed successfully,SAP_BASIS
2025-08-30 02:41:00,BK_20250830_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-08-30 02:47:00,BK_20250830_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,1.9,360,Backup Catalog backup completed successfully,SAP_BASIS
2025-08-30 02:48:00,BK_20250830_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-09-14 01:05:00,BK_20250914_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-09-14 01:07:00,BK_20250914_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-09-14 02:26:00,BK_20250914_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1479.4,4740,Data Volume backup completed successfully,SAP_BASIS
2025-09-14 02:27:00,BK_20250914_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-09-14 02:44:00,BK_20250914_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,237.4,1020,Log Volume backup completed successfully,SAP_BASIS
2025-09-14 02:45:00,BK_20250914_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-09-14 02:48:00,BK_20250914_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,4.3,180,Backup Catalog backup completed successfully,SAP_BASIS
2025-09-14 02:49:00,BK_20250914_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-09-30 01:00:00,BK_20250930_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-09-30 01:02:00,BK_20250930_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-09-30 02:20:00,BK_20250930_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1454.2,4680,Data Volume backup completed successfully,SAP_BASIS
2025-09-30 02:21:00,BK_20250930_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-09-30 02:36:00,BK_20250930_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,168.0,900,Log Volume backup completed successfully,SAP_BASIS
2025-09-30 02:37:00,BK_20250930_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-09-30 02:44:00,BK_20250930_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,4.2,420,Backup Catalog backup completed successfully,SAP_BASIS
2025-09-30 02:45:00,BK_20250930_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-10-15 01:03:00,BK_20251015_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-10-15 01:05:00,BK_20251015_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-10-15 02:36:00,BK_20251015_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1716.7,5460,Data Volume backup completed successfully,SAP_BASIS
2025-10-15 02:37:00,BK_20251015_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-10-15 02:55:00,BK_20251015_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,216.9,1080,Log Volume backup completed successfully,SAP_BASIS
2025-10-15 02:56:00,BK_20251015_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-10-15 03:04:00,BK_20251015_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,3.3,480,Backup Catalog backup completed successfully,SAP_BASIS
2025-10-15 03:05:00,BK_20251015_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-10-30 01:05:00,BK_20251030_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-10-30 01:07:00,BK_20251030_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-10-30 02:36:00,BK_20251030_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1668.5,5340,Data Volume backup completed successfully,SAP_BASIS
2025-10-30 02:37:00,BK_20251030_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-10-30 02:53:00,BK_20251030_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,218.2,960,Log Volume backup completed successfully,SAP_BASIS
2025-10-30 02:54:00,BK_20251030_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-10-30 03:02:00,BK_20251030_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,1.8,480,Backup Catalog backup completed successfully,SAP_BASIS
2025-10-30 03:03:00,BK_20251030_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-11-14 01:03:00,BK_20251114_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-11-14 01:05:00,BK_20251114_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-11-14 02:28:00,BK_20251114_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1569.5,4980,Data Volume backup completed successfully,SAP_BASIS
2025-11-14 02:29:00,BK_20251114_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-11-14 02:44:00,BK_20251114_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,197.3,900,Log Volume backup completed successfully,SAP_BASIS
2025-11-14 02:45:00,BK_20251114_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-11-14 02:52:00,BK_20251114_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,2.5,420,Backup Catalog backup completed successfully,SAP_BASIS
2025-11-14 02:53:00,BK_20251114_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-11-29 01:00:00,BK_20251129_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-11-29 01:02:00,BK_20251129_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-11-29 02:19:00,BK_20251129_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1418.2,4620,Data Volume backup completed successfully,SAP_BASIS
2025-11-29 02:20:00,BK_20251129_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-11-29 02:40:00,BK_20251129_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,270.0,1200,Log Volume backup completed successfully,SAP_BASIS
2025-11-29 02:41:00,BK_20251129_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-11-29 02:48:00,BK_20251129_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,1.1,420,Backup Catalog backup completed successfully,SAP_BASIS
2025-11-29 02:49:00,BK_20251129_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-12-14 01:00:00,BK_20251214_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-12-14 01:02:00,BK_20251214_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-12-14 02:28:00,BK_20251214_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1679.8,5160,Data Volume backup completed successfully,SAP_BASIS
2025-12-14 02:29:00,BK_20251214_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-12-14 02:45:00,BK_20251214_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,174.4,960,Log Volume backup completed successfully,SAP_BASIS
2025-12-14 02:46:00,BK_20251214_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-12-14 02:53:00,BK_20251214_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,3.3,420,Backup Catalog backup completed successfully,SAP_BASIS
2025-12-14 02:54:00,BK_20251214_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2025-12-30 01:00:00,BK_20251230_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2025-12-30 01:02:00,BK_20251230_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2025-12-30 02:20:00,BK_20251230_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1431.0,4680,Data Volume backup completed successfully,SAP_BASIS
2025-12-30 02:21:00,BK_20251230_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2025-12-30 02:36:00,BK_20251230_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,225.7,900,Log Volume backup completed successfully,SAP_BASIS
2025-12-30 02:37:00,BK_20251230_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2025-12-30 02:40:00,BK_20251230_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,1.0,180,Backup Catalog backup completed successfully,SAP_BASIS
2025-12-30 02:41:00,BK_20251230_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2026-01-14 01:05:00,BK_20260114_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2026-01-14 01:07:00,BK_20260114_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2026-01-14 02:24:00,BK_20260114_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1495.6,4620,Data Volume backup completed successfully,SAP_BASIS
2026-01-14 02:25:00,BK_20260114_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2026-01-14 02:39:00,BK_20260114_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,166.0,840,Log Volume backup completed successfully,SAP_BASIS
2026-01-14 02:40:00,BK_20260114_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2026-01-14 02:46:00,BK_20260114_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,2.7,360,Backup Catalog backup completed successfully,SAP_BASIS
2026-01-14 02:47:00,BK_20260114_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2026-01-29 01:01:00,BK_20260129_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2026-01-29 01:03:00,BK_20260129_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2026-01-29 02:21:00,BK_20260129_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1402.0,4680,Data Volume backup completed successfully,SAP_BASIS
2026-01-29 02:22:00,BK_20260129_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2026-01-29 02:35:00,BK_20260129_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,150.6,780,Log Volume backup completed successfully,SAP_BASIS
2026-01-29 02:36:00,BK_20260129_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2026-01-29 02:42:00,BK_20260129_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,3.9,360,Backup Catalog backup completed successfully,SAP_BASIS
2026-01-29 02:43:00,BK_20260129_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2026-02-13 01:05:00,BK_20260213_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2026-02-13 01:07:00,BK_20260213_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2026-02-13 02:27:00,BK_20260213_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1481.9,4800,Data Volume backup completed successfully,SAP_BASIS
2026-02-13 02:28:00,BK_20260213_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
2026-02-13 02:46:00,BK_20260213_001,FULL,LOG,SAPPROD,Log Volume,COMPLETED,255.5,1080,Log Volume backup completed successfully,SAP_BASIS
2026-02-13 02:47:00,BK_20260213_001,FULL,CATALOG,SAPPROD,Backup Catalog,RUNNING,0,0,Backup Catalog backup started,SAP_BASIS
2026-02-13 02:52:00,BK_20260213_001,FULL,CATALOG,SAPPROD,Backup Catalog,COMPLETED,4.4,300,Backup Catalog backup completed successfully,SAP_BASIS
2026-02-13 02:53:00,BK_20260213_001,FULL,SYSTEM,SAPPROD,ALL,COMPLETED,0,0,Database backup completed successfully,SAP_BASIS
2026-02-28 01:01:00,BK_20260228_001,FULL,SYSTEM,SAPPROD,ALL,INITIATED,0,0,Database backup started for all components,SAP_BASIS
2026-02-28 01:03:00,BK_20260228_001,FULL,DATA,SAPPROD,Data Volume,RUNNING,0,0,Data Volume backup started,SAP_BASIS
2026-02-28 02:32:00,BK_20260228_001,FULL,DATA,SAPPROD,Data Volume,COMPLETED,1624.4,5340,Data Volume backup completed successfully,SAP_BASIS
2026-02-28 02:33:00,BK_20260228_001,FULL,LOG,SAPPROD,Log Volume,RUNNING,0,0,Log Volume backup started,SAP_BASIS
