# SAP S/4HANA - Transaction SM20
# Report:   Security Audit Log (SAL) - Login Events
# Client:   100 (Production)
# Audit Class: AU1 (Dialog Logon), AU3 (Logoff)
# Retention: 730 days (Profile parameter rsau/max_file_size confirmed)
# Export:   2026-02-15 14:22:30 JST by IT002 吉田 雅彦 (E0052)
# Scope:    退職者5名の離任期間±2週間の全ログオンイベント

# --- Section A: 期間内全ログオンイベント (母集団抜粋) ---
# Filter: ログオン成功 / 期間: 各退職者離任前後

タイムスタンプ,ユーザID,イベント,メッセージ,端末,ターミナル,クライアント,結果
2025-06-27 13:38:44,ACC001,AU1,Logon successful (type=A),10.20.25.185,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-06-27 18:22:20,SLS003,AU1,Logon successful (type=A),10.20.1.119,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-06-30 09:00:29,SLS002,AU1,Logon successful (type=A),10.20.4.232,SESSION_MANAGER,100,SUCCESS
2025-06-30 13:45:59,IT004,AU1,Logon successful (type=A),10.20.18.96,SAPMSSY0,100,SUCCESS
2025-06-30 20:57:08,ACC001,AU1,Logon successful (type=A),10.20.3.58,SESSION_MANAGER,100,SUCCESS
2025-08-18 10:59:27,SLS003,AU1,Logon successful (type=A),10.20.24.65,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-08-18 16:55:03,SLS002,AU1,Logon successful (type=A),10.20.8.213,SAPMSSY0,100,SUCCESS
2025-08-19 12:48:48,HR002,AU1,Logon successful (type=A),10.20.13.70,SAPMSSY0,100,SUCCESS
2025-08-19 18:41:04,MFG003,AU1,Logon successful (type=A),10.20.4.93,SAPMSSY0,100,SUCCESS
2025-08-20 10:32:58,SLS004,AU1,Logon successful (type=A),10.20.28.82,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-08-20 15:20:18,ACC002,AU1,Logon successful (type=A),10.20.25.81,SAPMSSY0,100,SUCCESS
2025-08-21 07:59:35,ACC001,AU1,Logon successful (type=A),10.20.3.132,SAPMSSY0,100,SUCCESS
2025-08-21 15:42:47,ACC002,AU1,Logon successful (type=A),10.20.9.242,SESSION_MANAGER,100,SUCCESS
2025-08-22 07:03:57,PUR002,AU1,Logon successful (type=A),10.20.25.144,SAPMSSY0,100,SUCCESS
2025-08-22 12:36:01,ACC004,AU1,Logon successful (type=A),10.20.3.189,SESSION_MANAGER,100,SUCCESS
2025-08-25 07:06:47,PUR001,AU1,Logon successful (type=A),10.20.3.93,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-08-25 12:40:43,MFG003,AU1,Logon successful (type=A),10.20.17.152,SESSION_MANAGER,100,SUCCESS
2025-08-25 18:20:12,ACC006,AU1,Logon successful (type=A),10.20.17.199,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-08-26 11:12:16,SLS001,AU1,Logon successful (type=A),10.20.28.108,SAPMSSY0,100,SUCCESS
2025-08-26 17:55:17,PUR002,AU1,Logon successful (type=A),10.20.21.146,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-08-27 13:13:54,SLS001,AU1,Logon successful (type=A),10.20.16.67,SESSION_MANAGER,100,SUCCESS
2025-08-27 17:59:58,IT004,AU1,Logon successful (type=A),10.20.1.187,SAPMSSY0,100,SUCCESS
2025-08-28 09:28:02,IT003,AU1,Logon successful (type=A),10.20.11.140,SESSION_MANAGER,100,SUCCESS
2025-08-28 14:07:41,MFG001,AU1,Logon successful (type=A),10.20.26.19,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-08-28 20:46:28,PUR003,AU1,Logon successful (type=A),10.20.12.20,SESSION_MANAGER,100,SUCCESS
2025-08-29 13:25:41,PUR003,AU1,Logon successful (type=A),10.20.17.203,SESSION_MANAGER,100,SUCCESS
2025-08-29 20:39:19,SLS004,AU1,Logon successful (type=A),10.20.12.93,SESSION_MANAGER,100,SUCCESS
2025-09-01 13:45:19,ACC001,AU1,Logon successful (type=A),10.20.15.228,SAPMSSY0,100,SUCCESS
2025-09-01 18:08:11,HR001,AU1,Logon successful (type=A),10.20.20.237,SAPMSSY0,100,SUCCESS
2025-09-16 11:35:29,ACC004,AU1,Logon successful (type=A),10.20.22.238,SAPMSSY0,100,SUCCESS
2025-09-16 16:03:54,PUR002,AU1,Logon successful (type=A),10.20.25.138,SAPMSSY0,100,SUCCESS
2025-09-17 07:57:45,PUR001,AU1,Logon successful (type=A),10.20.11.245,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-09-17 13:09:05,SLS004,AU1,Logon successful (type=A),10.20.13.19,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-09-17 18:01:25,SLS003,AU1,Logon successful (type=A),10.20.2.138,SAPMSSY0,100,SUCCESS
2025-09-18 12:26:30,HR001,AU1,Logon successful (type=A),10.20.20.161,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-09-18 19:38:43,SLS002,AU1,Logon successful (type=A),10.20.23.106,SESSION_MANAGER,100,SUCCESS
2025-09-19 10:49:36,ACC006,AU1,Logon successful (type=A),10.20.6.133,SAPMSSY0,100,SUCCESS
2025-09-19 19:09:20,HR002,AU1,Logon successful (type=A),10.20.13.233,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-09-22 11:43:08,IT001,AU1,Logon successful (type=A),10.20.12.102,SAPMSSY0,100,SUCCESS
2025-09-23 07:09:06,HR002,AU1,Logon successful (type=A),10.20.6.160,SAPMSSY0,100,SUCCESS
2025-09-23 12:19:31,IT001,AU1,Logon successful (type=A),10.20.27.164,SESSION_MANAGER,100,SUCCESS
2025-09-23 20:50:22,MFG002,AU1,Logon successful (type=A),10.20.22.123,SESSION_MANAGER,100,SUCCESS
2025-09-24 12:39:36,MFG001,AU1,Logon successful (type=A),10.20.4.30,SAPMSSY0,100,SUCCESS
2025-09-24 18:19:09,PUR003,AU1,Logon successful (type=A),10.20.30.36,SAPMSSY0,100,SUCCESS
2025-09-25 11:20:34,MFG003,AU1,Logon successful (type=A),10.20.12.97,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-09-25 19:42:55,PUR002,AU1,Logon successful (type=A),10.20.2.236,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-09-26 13:55:05,IT001,AU1,Logon successful (type=A),10.20.21.141,SESSION_MANAGER,100,SUCCESS
2025-09-26 20:05:13,ACC001,AU1,Logon successful (type=A),10.20.14.156,SESSION_MANAGER,100,SUCCESS
2025-09-29 13:54:18,PUR003,AU1,Logon successful (type=A),10.20.24.20,SESSION_MANAGER,100,SUCCESS
2025-09-30 07:09:20,MFG003,AU1,Logon successful (type=A),10.20.8.133,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-09-30 17:13:12,IT002,AU1,Logon successful (type=A),10.20.10.94,SAPMSSY0,100,SUCCESS
2025-10-01 08:26:29,PUR001,AU1,Logon successful (type=A),10.20.3.175,SESSION_MANAGER,100,SUCCESS
2025-10-01 13:40:48,PUR002,AU1,Logon successful (type=A),10.20.30.69,SAPMSSY0,100,SUCCESS
2025-10-02 08:26:48,MFG001,AU1,Logon successful (type=A),10.20.3.13,SESSION_MANAGER,100,SUCCESS
2025-10-02 15:12:27,IT001,AU1,Logon successful (type=A),10.20.1.48,SESSION_MANAGER,100,SUCCESS
2025-10-03 08:58:29,HR001,AU1,Logon successful (type=A),10.20.7.72,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-10-03 17:22:56,PUR001,AU1,Logon successful (type=A),10.20.8.60,SAPMSSY0,100,SUCCESS
2025-10-06 08:52:11,PUR003,AU1,Logon successful (type=A),10.20.19.110,SESSION_MANAGER,100,SUCCESS
2025-10-06 14:28:20,SLS004,AU1,Logon successful (type=A),10.20.23.237,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-10-06 20:31:07,HR002,AU1,Logon successful (type=A),10.20.21.16,SESSION_MANAGER,100,SUCCESS
2025-10-07 13:06:52,SLS004,AU1,Logon successful (type=A),10.20.28.166,SESSION_MANAGER,100,SUCCESS
2025-10-08 08:24:14,SLS003,AU1,Logon successful (type=A),10.20.13.208,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-10-08 16:20:47,IT004,AU1,Logon successful (type=A),10.20.5.108,SESSION_MANAGER,100,SUCCESS
2025-10-09 09:26:40,PUR002,AU1,Logon successful (type=A),10.20.11.242,SESSION_MANAGER,100,SUCCESS
2025-10-09 16:56:51,IT004,AU1,Logon successful (type=A),10.20.18.61,SAPMSSY0,100,SUCCESS
2025-10-10 08:31:44,HR001,AU1,Logon successful (type=A),10.20.18.172,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-10-10 14:26:04,IT003,AU1,Logon successful (type=A),10.20.14.168,SESSION_MANAGER,100,SUCCESS
2025-10-10 20:11:04,SLS001,AU1,Logon successful (type=A),10.20.9.102,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-03 12:49:41,HR002,AU1,Logon successful (type=A),10.20.24.118,SESSION_MANAGER,100,SUCCESS
2025-11-03 19:20:51,SLS003,AU1,Logon successful (type=A),10.20.14.100,SAPMSSY0,100,SUCCESS
2025-11-04 09:36:46,MFG003,AU1,Logon successful (type=A),10.20.27.139,SAPMSSY0,100,SUCCESS
2025-11-04 15:41:09,SLS002,AU1,Logon successful (type=A),10.20.13.209,SAPMSSY0,100,SUCCESS
2025-11-05 07:41:08,PUR003,AU1,Logon successful (type=A),10.20.9.26,SAPMSSY0,100,SUCCESS
2025-11-05 12:36:19,MFG002,AU1,Logon successful (type=A),10.20.23.129,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-05 19:00:13,ACC006,AU1,Logon successful (type=A),10.20.27.32,SAPMSSY0,100,SUCCESS
2025-11-06 11:23:15,IT002,AU1,Logon successful (type=A),10.20.18.230,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-06 15:50:46,MFG002,AU1,Logon successful (type=A),10.20.2.234,SESSION_MANAGER,100,SUCCESS
2025-11-07 09:53:26,MFG001,AU1,Logon successful (type=A),10.20.1.57,SESSION_MANAGER,100,SUCCESS
2025-11-07 16:47:13,MFG003,AU1,Logon successful (type=A),10.20.24.83,SAPMSSY0,100,SUCCESS
2025-11-10 07:38:56,MFG002,AU1,Logon successful (type=A),10.20.22.106,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-10 16:41:16,HR002,AU1,Logon successful (type=A),10.20.30.226,SESSION_MANAGER,100,SUCCESS
2025-11-11 08:48:20,SLS002,AU1,Logon successful (type=A),10.20.5.23,SAPMSSY0,100,SUCCESS
2025-11-11 14:41:57,SLS002,AU1,Logon successful (type=A),10.20.9.122,SESSION_MANAGER,100,SUCCESS
2025-11-11 20:21:55,SLS002,AU1,Logon successful (type=A),10.20.15.39,SESSION_MANAGER,100,SUCCESS
2025-11-12 11:17:35,HR002,AU1,Logon successful (type=A),10.20.14.243,SESSION_MANAGER,100,SUCCESS
2025-11-12 17:19:44,ACC006,AU1,Logon successful (type=A),10.20.5.217,SAPMSSY0,100,SUCCESS
2025-11-13 07:34:07,ACC003,AU1,Logon successful (type=A),10.20.2.139,SAPMSSY0,100,SUCCESS
2025-11-13 12:32:41,IT003,AU1,Logon successful (type=A),10.20.23.13,SAPMSSY0,100,SUCCESS
2025-11-13 18:52:42,IT003,AU1,Logon successful (type=A),10.20.17.85,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-14 12:16:49,ACC002,AU1,Logon successful (type=A),10.20.27.52,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-14 19:35:42,PUR002,AU1,Logon successful (type=A),10.20.5.46,SESSION_MANAGER,100,SUCCESS
2025-11-17 12:40:36,ACC003,AU1,Logon successful (type=A),10.20.20.102,SESSION_MANAGER,100,SUCCESS
2025-11-17 20:26:15,IT004,AU1,Logon successful (type=A),10.20.10.119,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-18 13:02:43,MFG001,AU1,Logon successful (type=A),10.20.25.73,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-18 19:42:13,ACC006,AU1,Logon successful (type=A),10.20.13.146,SAPMSSY0,100,SUCCESS
2025-11-19 11:00:07,ACC003,AU1,Logon successful (type=A),10.20.1.228,SAPMSSY0,100,SUCCESS
2025-11-19 18:14:15,MFG003,AU1,Logon successful (type=A),10.20.10.152,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-20 13:09:39,ACC006,AU1,Logon successful (type=A),10.20.13.250,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-20 18:39:27,MFG002,AU1,Logon successful (type=A),10.20.1.23,SESSION_MANAGER,100,SUCCESS
2025-11-21 11:35:26,PUR002,AU1,Logon successful (type=A),10.20.23.30,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-21 17:26:25,IT003,AU1,Logon successful (type=A),10.20.6.133,SAPMSSY0,100,SUCCESS
2025-11-24 11:44:44,IT002,AU1,Logon successful (type=A),10.20.25.123,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-24 18:35:31,HR002,AU1,Logon successful (type=A),10.20.30.236,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-25 10:27:30,IT003,AU1,Logon successful (type=A),10.20.14.64,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-25 17:21:07,SLS001,AU1,Logon successful (type=A),10.20.16.137,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-26 11:16:21,SLS003,AU1,Logon successful (type=A),10.20.25.158,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-26 18:38:39,PUR001,AU1,Logon successful (type=A),10.20.29.166,SAPMSSY0,100,SUCCESS
2025-11-27 09:46:03,ACC006,AU1,Logon successful (type=A),10.20.16.208,SESSION_MANAGER,100,SUCCESS
2025-11-27 15:37:06,SLS001,AU1,Logon successful (type=A),10.20.11.208,SESSION_MANAGER,100,SUCCESS
2025-11-27 20:50:45,IT004,AU1,Logon successful (type=A),10.20.12.232,SAPMSSY0,100,SUCCESS
2025-11-28 11:44:49,IT004,AU1,Logon successful (type=A),10.20.16.185,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-11-28 17:50:39,ACC001,AU1,Logon successful (type=A),10.20.5.89,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-12-01 11:00:51,PUR001,AU1,Logon successful (type=A),10.20.21.31,SESSION_MANAGER,100,SUCCESS
2025-12-01 19:10:30,MFG002,AU1,Logon successful (type=A),10.20.27.69,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-12-02 11:54:40,MFG001,AU1,Logon successful (type=A),10.20.26.160,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-12-02 17:06:24,SLS002,AU1,Logon successful (type=A),10.20.4.133,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-12-03 08:18:17,ACC004,AU1,Logon successful (type=A),10.20.22.147,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-12-03 13:48:13,ACC006,AU1,Logon successful (type=A),10.20.6.141,SAPLSMTR_NAVIGATION,100,SUCCESS
2025-12-03 20:31:47,IT001,AU1,Logon successful (type=A),10.20.30.58,SAPLSMTR_NAVIGATION,100,SUCCESS
2026-01-19 13:55:11,HR002,AU1,Logon successful (type=A),10.20.26.163,SESSION_MANAGER,100,SUCCESS
2026-01-19 18:55:33,IT004,AU1,Logon successful (type=A),10.20.8.226,SESSION_MANAGER,100,SUCCESS
2026-01-20 13:02:34,SLS004,AU1,Logon successful (type=A),10.20.6.106,SAPLSMTR_NAVIGATION,100,SUCCESS
2026-01-20 18:19:47,ACC001,AU1,Logon successful (type=A),10.20.21.225,SESSION_MANAGER,100,SUCCESS
2026-01-21 11:53:18,SLS004,AU1,Logon successful (type=A),10.20.21.36,SESSION_MANAGER,100,SUCCESS
2026-01-21 19:23:56,SLS001,AU1,Logon successful (type=A),10.20.13.246,SESSION_MANAGER,100,SUCCESS
2026-01-22 10:57:39,MFG002,AU1,Logon successful (type=A),10.20.8.198,SAPLSMTR_NAVIGATION,100,SUCCESS
2026-01-22 15:57:36,IT003,AU1,Logon successful (type=A),10.20.11.161,SAPMSSY0,100,SUCCESS
2026-01-23 09:56:27,PUR001,AU1,Logon successful (type=A),10.20.9.13,SAPLSMTR_NAVIGATION,100,SUCCESS
2026-01-23 14:10:04,SLS001,AU1,Logon successful (type=A),10.20.14.217,SESSION_MANAGER,100,SUCCESS
2026-01-23 20:16:32,SLS004,AU1,Logon successful (type=A),10.20.22.241,SAPMSSY0,100,SUCCESS
2026-01-26 13:02:57,IT001,AU1,Logon successful (type=A),10.20.8.63,SESSION_MANAGER,100,SUCCESS
2026-01-27 08:42:06,SLS002,AU1,Logon successful (type=A),10.20.23.24,SAPMSSY0,100,SUCCESS
2026-01-27 14:49:39,IT001,AU1,Logon successful (type=A),10.20.20.237,SAPMSSY0,100,SUCCESS
2026-01-28 08:34:46,IT001,AU1,Logon successful (type=A),10.20.20.140,SAPLSMTR_NAVIGATION,100,SUCCESS
2026-01-28 12:29:12,IT004,AU1,Logon successful (type=A),10.20.23.195,SAPMSSY0,100,SUCCESS
2026-01-28 19:51:34,IT003,AU1,Logon successful (type=A),10.20.3.113,SAPMSSY0,100,SUCCESS
2026-01-29 10:40:19,ACC001,AU1,Logon successful (type=A),10.20.17.229,SAPMSSY0,100,SUCCESS
2026-01-29 17:38:08,IT001,AU1,Logon successful (type=A),10.20.19.152,SESSION_MANAGER,100,SUCCESS
2026-01-30 08:25:01,HR001,AU1,Logon successful (type=A),10.20.23.149,SAPMSSY0,100,SUCCESS
2026-01-30 15:13:17,ACC002,AU1,Logon successful (type=A),10.20.30.83,SAPLSMTR_NAVIGATION,100,SUCCESS
2026-01-30 20:18:53,SLS002,AU1,Logon successful (type=A),10.20.30.50,SESSION_MANAGER,100,SUCCESS
2026-02-02 10:34:07,HR001,AU1,Logon successful (type=A),10.20.22.222,SESSION_MANAGER,100,SUCCESS
2026-02-02 16:24:55,PUR003,AU1,Logon successful (type=A),10.20.28.234,SESSION_MANAGER,100,SUCCESS

# Section A Records: 163 (期間内全イベント 2437件から15件間隔で抽出)

# --- Section B: 退職者個別フィルタ結果 ---
# Query Syntax: SM20 → Dynamic Filters: USER = <retired_uid> / DATE BETWEEN <period>

# --- Retired User: MFG099 (山崎 龍一) ---
# 退職日: 2025-06-30 / 停止日: 2025-06-30
# フィルタ期間: 2025-06-16 ～ 2025-06-30
# Query: USER = 'MFG099' AND DATE BETWEEN '2025-06-16' AND '2025-06-30'
# 退職日以降 (2025-06-30 翌日 ～ 2025-06-30):
# → Query Result: 0 records found

# --- Retired User: ACC099 (北川 昭子) ---
# 退職日: 2025-08-31 / 停止日: 2025-09-01
# フィルタ期間: 2025-08-17 ～ 2025-09-01
# Query: USER = 'ACC099' AND DATE BETWEEN '2025-08-17' AND '2025-09-01'
# 退職日前ログオン (参考: 通常勤務実績確認):
2025-08-22 14:26:31,ACC099,AU1,Logon successful (type=A),10.20.20.219,SESSION_MANAGER,100,SUCCESS
2025-08-28 11:24:39,ACC099,AU1,Logon successful (type=A),10.20.25.245,SESSION_MANAGER,100,SUCCESS
# 退職日以降 (2025-08-31 翌日 ～ 2025-09-01):
# → Query Result: 0 records found

# --- Retired User: SLS099 (藤井 修) ---
# 退職日: 2025-09-30 / 停止日: 2025-10-11
# フィルタ期間: 2025-09-16 ～ 2025-10-11
# Query: USER = 'SLS099' AND DATE BETWEEN '2025-09-16' AND '2025-10-11'
# 退職日前ログオン (参考: 通常勤務実績確認):
2025-09-19 13:10:36,SLS099,AU1,Logon successful (type=A),10.20.11.47,SESSION_MANAGER,100,SUCCESS
2025-09-23 08:23:57,SLS099,AU1,Logon successful (type=A),10.20.9.201,SESSION_MANAGER,100,SUCCESS
2025-09-24 10:25:47,SLS099,AU1,Logon successful (type=A),10.20.28.183,SESSION_MANAGER,100,SUCCESS
2025-09-26 13:26:58,SLS099,AU1,Logon successful (type=A),10.20.3.74,SESSION_MANAGER,100,SUCCESS
# 退職日以降 (2025-09-30 翌日 ～ 2025-10-11):
# → Query Result: 0 records found

# --- Retired User: PUR099 (菅原 美奈子) ---
# 退職日: 2025-11-15 / 停止日: 2025-12-03
# フィルタ期間: 2025-11-01 ～ 2025-12-03
# Query: USER = 'PUR099' AND DATE BETWEEN '2025-11-01' AND '2025-12-03'
# 退職日前ログオン (参考: 通常勤務実績確認):
2025-11-07 08:49:17,PUR099,AU1,Logon successful (type=A),10.20.5.231,SESSION_MANAGER,100,SUCCESS
2025-11-14 13:40:29,PUR099,AU1,Logon successful (type=A),10.20.23.225,SESSION_MANAGER,100,SUCCESS
# 退職日以降 (2025-11-15 翌日 ～ 2025-12-03):
# → Query Result: 0 records found

# --- Retired User: HR099 (大野 健介) ---
# 退職日: 2026-01-31 / 停止日: 2026-02-02
# フィルタ期間: 2026-01-17 ～ 2026-02-02
# Query: USER = 'HR099' AND DATE BETWEEN '2026-01-17' AND '2026-02-02'
# 退職日前ログオン (参考: 通常勤務実績確認):
2026-01-20 11:18:23,HR099,AU1,Logon successful (type=A),10.20.25.23,SESSION_MANAGER,100,SUCCESS
2026-01-20 12:24:22,HR099,AU1,Logon successful (type=A),10.20.1.29,SESSION_MANAGER,100,SUCCESS
2026-01-27 15:15:10,HR099,AU1,Logon successful (type=A),10.20.25.103,SESSION_MANAGER,100,SUCCESS
# 退職日以降 (2026-01-31 翌日 ～ 2026-02-02):
# → Query Result: 0 records found

# --- Section C: 集計 ---
# MFG099: 退職日 2025-06-30 / 停止日 2025-06-30 / 退職後ログオン件数=0 [適時停止]
# ACC099: 退職日 2025-08-31 / 停止日 2025-09-01 / 退職後ログオン件数=0 [適時停止]
# SLS099: 退職日 2025-09-30 / 停止日 2025-10-11 / 退職後ログオン件数=0 [停止遅延11日 DEF-2026-001]
# PUR099: 退職日 2025-11-15 / 停止日 2025-12-03 / 退職後ログオン件数=0 [停止遅延18日 DEF-2026-001]
# HR099: 退職日 2026-01-31 / 停止日 2026-02-02 / 退職後ログオン件数=0 [適時停止]
