# SAP FI / 売上計上仕訳RAW明細
# トランザクション: FBL3N (勘定科目別明細)
# 対象勘定: 1220 売掛金 / 5100 売上高
# 出力日時: 2026/02/11 09:25:42 JST
# 出力者: ACC004 中村 真理（経理部主任）
# 抽出条件: 監査依頼IA-REQ-2026-002 指定の25件売上仕訳
#
# 【監査人注】売上計上は「借方 売掛金 / 貸方 売上高」の2行で構成される。
# SAP自動連動仕訳（出荷実績から起動）。Field Status Group: ZSDxx

サンプル№,仕訳番号,計上日,転記日,伝票タイプ,勘定科目コード,勘定科目名,借方/貸方,金額(円),顧客コード,受注番号,出荷番号,摘要,起票者
6,JV-202506-0255,2025-06-25,2025-06-25,RV,1220,売掛金,借方,2500000,C-10001,ORD-2025-0943,SH-202506-0125,出荷連動自動仕訳 SH-202506-0125,SAP_BATCH
6,JV-202506-0255,2025-06-25,2025-06-25,RV,5100,売上高,貸方,2500000,C-10001,ORD-2025-0943,SH-202506-0125,出荷連動自動仕訳 SH-202506-0125,SAP_BATCH
7,JV-202507-0214,2025-07-09,2025-07-09,RV,1220,売掛金,借方,3750000,C-10004,ORD-2025-0651,SH-202507-0240,出荷連動自動仕訳 SH-202507-0240,SAP_BATCH
7,JV-202507-0214,2025-07-09,2025-07-09,RV,5100,売上高,貸方,3750000,C-10004,ORD-2025-0651,SH-202507-0240,出荷連動自動仕訳 SH-202507-0240,SAP_BATCH
8,JV-202507-0162,2025-07-24,2025-07-24,RV,1220,売掛金,借方,2560000,C-10004,ORD-2025-2794,SH-202507-0032,出荷連動自動仕訳 SH-202507-0032,SAP_BATCH
8,JV-202507-0162,2025-07-24,2025-07-24,RV,5100,売上高,貸方,2560000,C-10004,ORD-2025-2794,SH-202507-0032,出荷連動自動仕訳 SH-202507-0032,SAP_BATCH
9,JV-202508-0216,2025-08-11,2025-08-11,RV,1220,売掛金,借方,3750000,C-10012,ORD-2025-0989,SH-202508-0197,出荷連動自動仕訳 SH-202508-0197,SAP_BATCH
9,JV-202508-0216,2025-08-11,2025-08-11,RV,5100,売上高,貸方,3750000,C-10012,ORD-2025-0989,SH-202508-0197,出荷連動自動仕訳 SH-202508-0197,SAP_BATCH
10,JV-202508-0114,2025-08-26,2025-08-26,RV,1220,売掛金,借方,420000,C-10001,ORD-2025-1634,SH-202508-0175,出荷連動自動仕訳 SH-202508-0175,SAP_BATCH
10,JV-202508-0114,2025-08-26,2025-08-26,RV,5100,売上高,貸方,420000,C-10001,ORD-2025-1634,SH-202508-0175,出荷連動自動仕訳 SH-202508-0175,SAP_BATCH
11,JV-202509-0280,2025-09-13,2025-09-13,RV,1220,売掛金,借方,11550000,C-10005,ORD-2025-0494,SH-202509-0089,出荷連動自動仕訳 SH-202509-0089,SAP_BATCH
11,JV-202509-0280,2025-09-13,2025-09-13,RV,5100,売上高,貸方,11550000,C-10005,ORD-2025-0494,SH-202509-0089,出荷連動自動仕訳 SH-202509-0089,SAP_BATCH
12,JV-202509-0115,2025-09-28,2025-09-28,RV,1220,売掛金,借方,12800000,C-10005,ORD-2025-3032,SH-202509-0185,出荷連動自動仕訳 SH-202509-0185,SAP_BATCH
12,JV-202509-0115,2025-09-28,2025-09-28,RV,5100,売上高,貸方,12800000,C-10005,ORD-2025-3032,SH-202509-0185,出荷連動自動仕訳 SH-202509-0185,SAP_BATCH
13,JV-202510-0271,2025-10-14,2025-10-14,RV,1220,売掛金,借方,10000000,C-10004,ORD-2025-1488,SH-202510-0191,出荷連動自動仕訳 SH-202510-0191,SAP_BATCH
13,JV-202510-0271,2025-10-14,2025-10-14,RV,5100,売上高,貸方,10000000,C-10004,ORD-2025-1488,SH-202510-0191,出荷連動自動仕訳 SH-202510-0191,SAP_BATCH
14,JV-202510-0145,2025-10-30,2025-10-30,RV,1220,売掛金,借方,2560000,C-10002,ORD-2025-0582,SH-202510-0068,出荷連動自動仕訳 SH-202510-0068,SAP_BATCH
14,JV-202510-0145,2025-10-30,2025-10-30,RV,5100,売上高,貸方,2560000,C-10002,ORD-2025-0582,SH-202510-0068,出荷連動自動仕訳 SH-202510-0068,SAP_BATCH
15,JV-202511-0146,2025-11-06,2025-11-06,RV,1220,売掛金,借方,384000,C-10011,ORD-2025-2208,SH-202511-0078,出荷連動自動仕訳 SH-202511-0078,SAP_BATCH
15,JV-202511-0146,2025-11-06,2025-11-06,RV,5100,売上高,貸方,384000,C-10011,ORD-2025-2208,SH-202511-0078,出荷連動自動仕訳 SH-202511-0078,SAP_BATCH
16,JV-202511-0234,2025-11-17,2025-11-17,RV,1220,売掛金,借方,12800000,C-10003,ORD-2025-2468,SH-202511-0234,出荷連動自動仕訳 SH-202511-0234,SAP_BATCH
16,JV-202511-0234,2025-11-17,2025-11-17,RV,5100,売上高,貸方,12800000,C-10003,ORD-2025-2468,SH-202511-0234,出荷連動自動仕訳 SH-202511-0234,SAP_BATCH
16,JV-ADJ-202511-0234,2025-11-20,2025-11-20,RV,5100,売上高,借方,50000,C-10003,ORD-2025-2468,SH-202511-0234,値引伝票DR-202511-0012 SH-202511-0234,ACC004
16,JV-ADJ-202511-0234,2025-11-20,2025-11-20,RV,1220,売掛金,貸方,50000,C-10003,ORD-2025-2468,SH-202511-0234,値引伝票DR-202511-0012 SH-202511-0234,ACC004
17,JV-202511-0223,2025-11-28,2025-11-28,RV,1220,売掛金,借方,3700000,C-10005,ORD-2025-0883,SH-202511-0021,出荷連動自動仕訳 SH-202511-0021,SAP_BATCH
17,JV-202511-0223,2025-11-28,2025-11-28,RV,5100,売上高,貸方,3700000,C-10005,ORD-2025-0883,SH-202511-0021,出荷連動自動仕訳 SH-202511-0021,SAP_BATCH
18,JV-202512-0171,2025-12-12,2025-12-12,RV,1220,売掛金,借方,2500000,C-10003,ORD-2025-1754,SH-202512-0065,出荷連動自動仕訳 SH-202512-0065,SAP_BATCH
18,JV-202512-0171,2025-12-12,2025-12-12,RV,5100,売上高,貸方,2500000,C-10003,ORD-2025-1754,SH-202512-0065,出荷連動自動仕訳 SH-202512-0065,SAP_BATCH
19,JV-202512-0262,2025-12-24,2025-12-24,RV,1220,売掛金,借方,1260000,C-10005,ORD-2025-2981,SH-202512-0059,出荷連動自動仕訳 SH-202512-0059,SAP_BATCH
19,JV-202512-0262,2025-12-24,2025-12-24,RV,5100,売上高,貸方,1260000,C-10005,ORD-2025-2981,SH-202512-0059,出荷連動自動仕訳 SH-202512-0059,SAP_BATCH
20,JV-202601-0249,2026-01-14,2026-01-14,RV,1220,売掛金,借方,64000,C-10001,ORD-2025-0714,SH-202601-0110,出荷連動自動仕訳 SH-202601-0110,SAP_BATCH
20,JV-202601-0249,2026-01-14,2026-01-14,RV,5100,売上高,貸方,64000,C-10001,ORD-2025-0714,SH-202601-0110,出荷連動自動仕訳 SH-202601-0110,SAP_BATCH
21,JV-202601-0236,2026-01-29,2026-01-29,RV,1220,売掛金,借方,30800000,C-10002,ORD-2025-0603,SH-202601-0110,出荷連動自動仕訳 SH-202601-0110,SAP_BATCH
21,JV-202601-0236,2026-01-29,2026-01-29,RV,5100,売上高,貸方,30800000,C-10002,ORD-2025-0603,SH-202601-0110,出荷連動自動仕訳 SH-202601-0110,SAP_BATCH
22,JV-202602-0120,2026-02-10,2026-02-10,RV,1220,売掛金,借方,256000,C-10001,ORD-2025-2674,SH-202602-0215,出荷連動自動仕訳 SH-202602-0215,SAP_BATCH
22,JV-202602-0120,2026-02-10,2026-02-10,RV,5100,売上高,貸方,256000,C-10001,ORD-2025-2674,SH-202602-0215,出荷連動自動仕訳 SH-202602-0215,SAP_BATCH
23,JV-202602-0290,2026-02-25,2026-02-25,RV,1220,売掛金,借方,14800000,C-10015,ORD-2025-2646,SH-202602-0152,出荷連動自動仕訳 SH-202602-0152,SAP_BATCH
23,JV-202602-0290,2026-02-25,2026-02-25,RV,5100,売上高,貸方,14800000,C-10015,ORD-2025-2646,SH-202602-0152,出荷連動自動仕訳 SH-202602-0152,SAP_BATCH
24,JV-202603-0262,2026-03-10,2026-03-10,RV,1220,売掛金,借方,4250000,C-10022,ORD-2025-2360,SH-202603-0069,出荷連動自動仕訳 SH-202603-0069,SAP_BATCH
24,JV-202603-0262,2026-03-10,2026-03-10,RV,5100,売上高,貸方,4250000,C-10022,ORD-2025-2360,SH-202603-0069,出荷連動自動仕訳 SH-202603-0069,SAP_BATCH
25,JV-202603-0280,2026-03-24,2026-03-24,RV,1220,売掛金,借方,256000,C-10012,ORD-2025-0939,SH-202603-0049,出荷連動自動仕訳 SH-202603-0049,SAP_BATCH
25,JV-202603-0280,2026-03-24,2026-03-24,RV,5100,売上高,貸方,256000,C-10012,ORD-2025-0939,SH-202603-0049,出荷連動自動仕訳 SH-202603-0049,SAP_BATCH

# 出力終了 / レコード数: 52（通常50行＋是正仕訳2行）
