# SAP S/4HANA - Invoice Register
# Transaction: VF05
# Export:      2026-04-10 08:00:00 JST
# Filter:      FY2025 / 代表5件/月 x 12ヶ月 = 60件

請求書番号,発行日,顧客コード,顧客名,請求金額(税抜),消費税,税込金額,支払期日,送付方法
INV-202511-0014,2025-11-30,C-10014,サンプル顧客K社,33376000,3337600,36713600,2025-12-25,PDF_EMAIL
INV-202511-0021,2025-11-30,C-10018,サンプル顧客O社,5370000,537000,5907000,2025-12-25,PAPER_MAIL
INV-202511-0028,2025-11-30,C-10025,サンプル顧客T社,34158000,3415800,37573800,2025-12-25,PDF_EMAIL
INV-202512-0001,2025-12-31,C-10014,サンプル顧客K社,23754500,2375450,26129950,2026-01-25,PDF_EMAIL
INV-202512-0007,2025-12-31,C-10005,サンプル顧客E社,25150000,2515000,27665000,2026-01-25,PDF_EMAIL
INV-202512-0014,2025-12-31,C-10023,サンプル顧客R社,22651000,2265100,24916100,2026-01-25,PDF_EMAIL
INV-202512-0021,2025-12-31,C-10012,サンプル顧客I社,11313000,1131300,12444300,2026-01-25,PAPER_MAIL
INV-202512-0028,2025-12-31,C-10001,サンプル顧客A社,34459000,3445900,37904900,2026-01-25,PDF_EMAIL
INV-202601-0001,2026-01-31,C-10004,サンプル顧客D社,3603600,360360,3963960,2026-02-25,PDF_EMAIL
INV-202601-0007,2026-01-31,C-10004,サンプル顧客D社,7803000,780300,8583300,2026-02-25,PDF_EMAIL
INV-202601-0014,2026-01-31,C-10021,サンプル顧客P社,9943000,994300,10937300,2026-02-25,PDF_EMAIL
INV-202601-0021,2026-01-31,C-10004,サンプル顧客D社,31605000,3160500,34765500,2026-02-25,PAPER_MAIL
INV-202601-0028,2026-01-31,C-10015,サンプル顧客L社,17323000,1732300,19055300,2026-02-25,PDF_EMAIL
INV-202602-0001,2026-02-28,C-10018,サンプル顧客O社,2398200,239820,2638020,2026-03-25,PDF_EMAIL
INV-202602-0007,2026-02-28,C-10001,サンプル顧客A社,14412000,1441200,15853200,2026-03-25,PDF_EMAIL
INV-202602-0014,2026-02-28,C-10022,サンプル顧客Q社,33054000,3305400,36359400,2026-03-25,PDF_EMAIL
INV-202602-0021,2026-02-28,C-10018,サンプル顧客O社,4082000,408200,4490200,2026-03-25,PAPER_MAIL
INV-202602-0028,2026-02-28,C-10014,サンプル顧客K社,32525000,3252500,35777500,2026-03-25,PDF_EMAIL
INV-202603-0001,2026-03-31,C-10023,サンプル顧客R社,6830600,683060,7513660,2026-04-25,PDF_EMAIL
INV-202603-0007,2026-03-31,C-10007,サンプル顧客G社,2985000,298500,3283500,2026-04-25,PDF_EMAIL
INV-202603-0014,2026-03-31,C-10018,サンプル顧客O社,16124000,1612400,17736400,2026-04-25,PDF_EMAIL
INV-202603-0021,2026-03-31,C-10016,サンプル顧客M社,2493000,249300,2742300,2026-04-25,PAPER_MAIL
INV-202603-0028,2026-03-31,C-10007,サンプル顧客G社,22528000,2252800,24780800,2026-04-25,PDF_EMAIL

# Records: 60
