# SAP FI / 売上計上仕訳明細 (勘定科目 5100 売上高)
# トランザクション: FBL3N
# 出力日時: 2025/12/01 08:45:33 / 出力者: ACC004 中村 真理
# 対象期間: 会計期間 8 (2025/11)

仕訳番号,計上日,伝票タイプ,勘定科目,借方/貸方,金額,顧客コード,受注番号,出荷番号,摘要,起票者
JV-202511-0013,2025-11-03,RV,1220 売掛金,借方,19724145,C-10004,ORD-2025-0369,SH-202511-0013,出荷連動自動仕訳,SAP自動
JV-202511-0013,2025-11-03,RV,5100 売上高,貸方,19724145,C-10004,ORD-2025-0369,SH-202511-0013,出荷連動自動仕訳,SAP自動
JV-202511-0014,2025-11-05,RV,1220 売掛金,借方,12993871,C-10014,ORD-2025-0382,SH-202511-0014,出荷連動自動仕訳,SAP自動
JV-202511-0014,2025-11-05,RV,5100 売上高,貸方,12993871,C-10014,ORD-2025-0382,SH-202511-0014,出荷連動自動仕訳,SAP自動
JV-202511-0015,2025-11-21,RV,1220 売掛金,借方,1619521,C-10001,ORD-2025-0395,SH-202511-0015,出荷連動自動仕訳,SAP自動
JV-202511-0015,2025-11-21,RV,5100 売上高,貸方,1619521,C-10001,ORD-2025-0395,SH-202511-0015,出荷連動自動仕訳,SAP自動
JV-202511-0016,2025-11-10,RV,1220 売掛金,借方,17570824,C-10007,ORD-2025-0408,SH-202511-0016,出荷連動自動仕訳,SAP自動
JV-202511-0016,2025-11-10,RV,5100 売上高,貸方,17570824,C-10007,ORD-2025-0408,SH-202511-0016,出荷連動自動仕訳,SAP自動
JV-202511-0017,2025-11-15,RV,1220 売掛金,借方,3085613,C-10011,ORD-2025-0421,SH-202511-0017,出荷連動自動仕訳,SAP自動
JV-202511-0017,2025-11-15,RV,5100 売上高,貸方,3085613,C-10011,ORD-2025-0421,SH-202511-0017,出荷連動自動仕訳,SAP自動
JV-202511-0018,2025-11-08,RV,1220 売掛金,借方,5450916,C-10003,ORD-2025-0434,SH-202511-0018,出荷連動自動仕訳,SAP自動
JV-202511-0018,2025-11-08,RV,5100 売上高,貸方,5450916,C-10003,ORD-2025-0434,SH-202511-0018,出荷連動自動仕訳,SAP自動
JV-202511-0019,2025-11-28,RV,1220 売掛金,借方,6943344,C-10023,ORD-2025-0447,SH-202511-0019,出荷連動自動仕訳,SAP自動
JV-202511-0019,2025-11-28,RV,5100 売上高,貸方,6943344,C-10023,ORD-2025-0447,SH-202511-0019,出荷連動自動仕訳,SAP自動
JV-202511-0020,2025-11-21,RV,1220 売掛金,借方,22667307,C-10017,ORD-2025-0460,SH-202511-0020,出荷連動自動仕訳,SAP自動
JV-202511-0020,2025-11-21,RV,5100 売上高,貸方,22667307,C-10017,ORD-2025-0460,SH-202511-0020,出荷連動自動仕訳,SAP自動
JV-202511-0021,2025-11-15,RV,1220 売掛金,借方,17303430,C-10013,ORD-2025-0473,SH-202511-0021,出荷連動自動仕訳,SAP自動
JV-202511-0021,2025-11-15,RV,5100 売上高,貸方,17303430,C-10013,ORD-2025-0473,SH-202511-0021,出荷連動自動仕訳,SAP自動
JV-202511-0022,2025-11-04,RV,1220 売掛金,借方,23547011,C-10023,ORD-2025-0486,SH-202511-0022,出荷連動自動仕訳,SAP自動
JV-202511-0022,2025-11-04,RV,5100 売上高,貸方,23547011,C-10023,ORD-2025-0486,SH-202511-0022,出荷連動自動仕訳,SAP自動
JV-202511-0023,2025-11-06,RV,1220 売掛金,借方,6555640,C-10013,ORD-2025-0499,SH-202511-0023,出荷連動自動仕訳,SAP自動
JV-202511-0023,2025-11-06,RV,5100 売上高,貸方,6555640,C-10013,ORD-2025-0499,SH-202511-0023,出荷連動自動仕訳,SAP自動
JV-202511-0024,2025-11-25,RV,1220 売掛金,借方,4507692,C-10018,ORD-2025-0512,SH-202511-0024,出荷連動自動仕訳,SAP自動
JV-202511-0024,2025-11-25,RV,5100 売上高,貸方,4507692,C-10018,ORD-2025-0512,SH-202511-0024,出荷連動自動仕訳,SAP自動
JV-202511-0025,2025-11-16,RV,1220 売掛金,借方,18203616,C-10016,ORD-2025-0525,SH-202511-0025,出荷連動自動仕訳,SAP自動
JV-202511-0025,2025-11-16,RV,5100 売上高,貸方,18203616,C-10016,ORD-2025-0525,SH-202511-0025,出荷連動自動仕訳,SAP自動
JV-202511-0026,2025-11-19,RV,1220 売掛金,借方,24801476,C-10006,ORD-2025-0538,SH-202511-0026,出荷連動自動仕訳,SAP自動
JV-202511-0026,2025-11-19,RV,5100 売上高,貸方,24801476,C-10006,ORD-2025-0538,SH-202511-0026,出荷連動自動仕訳,SAP自動
JV-202511-0027,2025-11-26,RV,1220 売掛金,借方,21615151,C-10017,ORD-2025-0551,SH-202511-0027,出荷連動自動仕訳,SAP自動
JV-202511-0027,2025-11-26,RV,5100 売上高,貸方,21615151,C-10017,ORD-2025-0551,SH-202511-0027,出荷連動自動仕訳,SAP自動
JV-202511-0028,2025-11-07,RV,1220 売掛金,借方,14419137,C-10005,ORD-2025-0564,SH-202511-0028,出荷連動自動仕訳,SAP自動
JV-202511-0028,2025-11-07,RV,5100 売上高,貸方,14419137,C-10005,ORD-2025-0564,SH-202511-0028,出荷連動自動仕訳,SAP自動
JV-202511-0029,2025-11-10,RV,1220 売掛金,借方,2826160,C-10015,ORD-2025-0577,SH-202511-0029,出荷連動自動仕訳,SAP自動
JV-202511-0029,2025-11-10,RV,5100 売上高,貸方,2826160,C-10015,ORD-2025-0577,SH-202511-0029,出荷連動自動仕訳,SAP自動
JV-202511-0030,2025-11-30,RV,1220 売掛金,借方,6500926,C-10017,ORD-2025-0590,SH-202511-0030,出荷連動自動仕訳,SAP自動
JV-202511-0030,2025-11-30,RV,5100 売上高,貸方,6500926,C-10017,ORD-2025-0590,SH-202511-0030,出荷連動自動仕訳,SAP自動
JV-202511-0031,2025-11-11,RV,1220 売掛金,借方,12952482,C-10011,ORD-2025-0603,SH-202511-0031,出荷連動自動仕訳,SAP自動
JV-202511-0031,2025-11-11,RV,5100 売上高,貸方,12952482,C-10011,ORD-2025-0603,SH-202511-0031,出荷連動自動仕訳,SAP自動
JV-202511-0032,2025-11-06,RV,1220 売掛金,借方,18897674,C-10001,ORD-2025-0616,SH-202511-0032,出荷連動自動仕訳,SAP自動
JV-202511-0032,2025-11-06,RV,5100 売上高,貸方,18897674,C-10001,ORD-2025-0616,SH-202511-0032,出荷連動自動仕訳,SAP自動
JV-202511-0033,2025-11-21,RV,1220 売掛金,借方,6873062,C-10023,ORD-2025-0629,SH-202511-0033,出荷連動自動仕訳,SAP自動
JV-202511-0033,2025-11-21,RV,5100 売上高,貸方,6873062,C-10023,ORD-2025-0629,SH-202511-0033,出荷連動自動仕訳,SAP自動
JV-202511-0034,2025-11-14,RV,1220 売掛金,借方,18836320,C-10024,ORD-2025-0642,SH-202511-0034,出荷連動自動仕訳,SAP自動
JV-202511-0034,2025-11-14,RV,5100 売上高,貸方,18836320,C-10024,ORD-2025-0642,SH-202511-0034,出荷連動自動仕訳,SAP自動
JV-202511-0035,2025-11-23,RV,1220 売掛金,借方,9089006,C-10004,ORD-2025-0655,SH-202511-0035,出荷連動自動仕訳,SAP自動
JV-202511-0035,2025-11-23,RV,5100 売上高,貸方,9089006,C-10004,ORD-2025-0655,SH-202511-0035,出荷連動自動仕訳,SAP自動
JV-202511-0036,2025-11-04,RV,1220 売掛金,借方,22285084,C-10001,ORD-2025-0668,SH-202511-0036,出荷連動自動仕訳,SAP自動
JV-202511-0036,2025-11-04,RV,5100 売上高,貸方,22285084,C-10001,ORD-2025-0668,SH-202511-0036,出荷連動自動仕訳,SAP自動
JV-202511-0037,2025-11-29,RV,1220 売掛金,借方,19523801,C-10025,ORD-2025-0681,SH-202511-0037,出荷連動自動仕訳,SAP自動
JV-202511-0037,2025-11-29,RV,5100 売上高,貸方,19523801,C-10025,ORD-2025-0681,SH-202511-0037,出荷連動自動仕訳,SAP自動
JV-202511-0038,2025-11-05,RV,1220 売掛金,借方,17389802,C-10023,ORD-2025-0694,SH-202511-0038,出荷連動自動仕訳,SAP自動
JV-202511-0038,2025-11-05,RV,5100 売上高,貸方,17389802,C-10023,ORD-2025-0694,SH-202511-0038,出荷連動自動仕訳,SAP自動
JV-202511-0039,2025-11-28,RV,1220 売掛金,借方,2171510,C-10003,ORD-2025-0707,SH-202511-0039,出荷連動自動仕訳,SAP自動
JV-202511-0039,2025-11-28,RV,5100 売上高,貸方,2171510,C-10003,ORD-2025-0707,SH-202511-0039,出荷連動自動仕訳,SAP自動
JV-202511-0040,2025-11-26,RV,1220 売掛金,借方,3543813,C-10017,ORD-2025-0720,SH-202511-0040,出荷連動自動仕訳,SAP自動
JV-202511-0040,2025-11-26,RV,5100 売上高,貸方,3543813,C-10017,ORD-2025-0720,SH-202511-0040,出荷連動自動仕訳,SAP自動
JV-202511-0041,2025-11-14,RV,1220 売掛金,借方,7909538,C-10003,ORD-2025-0733,SH-202511-0041,出荷連動自動仕訳,SAP自動
JV-202511-0041,2025-11-14,RV,5100 売上高,貸方,7909538,C-10003,ORD-2025-0733,SH-202511-0041,出荷連動自動仕訳,SAP自動
JV-202511-0042,2025-11-24,RV,1220 売掛金,借方,18429263,C-10017,ORD-2025-0746,SH-202511-0042,出荷連動自動仕訳,SAP自動
JV-202511-0042,2025-11-24,RV,5100 売上高,貸方,18429263,C-10017,ORD-2025-0746,SH-202511-0042,出荷連動自動仕訳,SAP自動
JV-202511-0043,2025-11-05,RV,1220 売掛金,借方,15769279,C-10024,ORD-2025-0759,SH-202511-0043,出荷連動自動仕訳,SAP自動
JV-202511-0043,2025-11-05,RV,5100 売上高,貸方,15769279,C-10024,ORD-2025-0759,SH-202511-0043,出荷連動自動仕訳,SAP自動
JV-202511-0044,2025-11-21,RV,1220 売掛金,借方,20043818,C-10022,ORD-2025-0772,SH-202511-0044,出荷連動自動仕訳,SAP自動
JV-202511-0044,2025-11-21,RV,5100 売上高,貸方,20043818,C-10022,ORD-2025-0772,SH-202511-0044,出荷連動自動仕訳,SAP自動
JV-202511-0045,2025-11-26,RV,1220 売掛金,借方,23231657,C-10011,ORD-2025-0785,SH-202511-0045,出荷連動自動仕訳,SAP自動
JV-202511-0045,2025-11-26,RV,5100 売上高,貸方,23231657,C-10011,ORD-2025-0785,SH-202511-0045,出荷連動自動仕訳,SAP自動
JV-202511-0046,2025-11-21,RV,1220 売掛金,借方,3449904,C-10001,ORD-2025-0798,SH-202511-0046,出荷連動自動仕訳,SAP自動
JV-202511-0046,2025-11-21,RV,5100 売上高,貸方,3449904,C-10001,ORD-2025-0798,SH-202511-0046,出荷連動自動仕訳,SAP自動
JV-202511-0047,2025-11-18,RV,1220 売掛金,借方,2842635,C-10003,ORD-2025-0811,SH-202511-0047,出荷連動自動仕訳,SAP自動
JV-202511-0047,2025-11-18,RV,5100 売上高,貸方,2842635,C-10003,ORD-2025-0811,SH-202511-0047,出荷連動自動仕訳,SAP自動
JV-202511-0048,2025-11-21,RV,1220 売掛金,借方,7628519,C-10016,ORD-2025-0824,SH-202511-0048,出荷連動自動仕訳,SAP自動
JV-202511-0048,2025-11-21,RV,5100 売上高,貸方,7628519,C-10016,ORD-2025-0824,SH-202511-0048,出荷連動自動仕訳,SAP自動
JV-202511-0049,2025-11-30,RV,1220 売掛金,借方,1355043,C-10018,ORD-2025-0837,SH-202511-0049,出荷連動自動仕訳,SAP自動
JV-202511-0049,2025-11-30,RV,5100 売上高,貸方,1355043,C-10018,ORD-2025-0837,SH-202511-0049,出荷連動自動仕訳,SAP自動
JV-202511-0050,2025-11-15,RV,1220 売掛金,借方,21680143,C-10017,ORD-2025-0850,SH-202511-0050,出荷連動自動仕訳,SAP自動
JV-202511-0050,2025-11-15,RV,5100 売上高,貸方,21680143,C-10017,ORD-2025-0850,SH-202511-0050,出荷連動自動仕訳,SAP自動
JV-202511-0051,2025-11-17,RV,1220 売掛金,借方,7940957,C-10021,ORD-2025-0863,SH-202511-0051,出荷連動自動仕訳,SAP自動
JV-202511-0051,2025-11-17,RV,5100 売上高,貸方,7940957,C-10021,ORD-2025-0863,SH-202511-0051,出荷連動自動仕訳,SAP自動
JV-202511-0052,2025-11-12,RV,1220 売掛金,借方,13033463,C-10017,ORD-2025-0876,SH-202511-0052,出荷連動自動仕訳,SAP自動
JV-202511-0052,2025-11-12,RV,5100 売上高,貸方,13033463,C-10017,ORD-2025-0876,SH-202511-0052,出荷連動自動仕訳,SAP自動
JV-202511-0053,2025-11-13,RV,1220 売掛金,借方,18676517,C-10011,ORD-2025-0889,SH-202511-0053,出荷連動自動仕訳,SAP自動
JV-202511-0053,2025-11-13,RV,5100 売上高,貸方,18676517,C-10011,ORD-2025-0889,SH-202511-0053,出荷連動自動仕訳,SAP自動
JV-202511-0054,2025-11-20,RV,1220 売掛金,借方,15298855,C-10002,ORD-2025-0902,SH-202511-0054,出荷連動自動仕訳,SAP自動
JV-202511-0054,2025-11-20,RV,5100 売上高,貸方,15298855,C-10002,ORD-2025-0902,SH-202511-0054,出荷連動自動仕訳,SAP自動
JV-202511-0055,2025-11-23,RV,1220 売掛金,借方,18602750,C-10006,ORD-2025-0915,SH-202511-0055,出荷連動自動仕訳,SAP自動
JV-202511-0055,2025-11-23,RV,5100 売上高,貸方,18602750,C-10006,ORD-2025-0915,SH-202511-0055,出荷連動自動仕訳,SAP自動
JV-202511-0056,2025-11-16,RV,1220 売掛金,借方,13043538,C-10007,ORD-2025-0928,SH-202511-0056,出荷連動自動仕訳,SAP自動
JV-202511-0056,2025-11-16,RV,5100 売上高,貸方,13043538,C-10007,ORD-2025-0928,SH-202511-0056,出荷連動自動仕訳,SAP自動
JV-202511-0057,2025-11-02,RV,1220 売掛金,借方,16653711,C-10023,ORD-2025-0941,SH-202511-0057,出荷連動自動仕訳,SAP自動
JV-202511-0057,2025-11-02,RV,5100 売上高,貸方,16653711,C-10023,ORD-2025-0941,SH-202511-0057,出荷連動自動仕訳,SAP自動
JV-202511-0058,2025-11-25,RV,1220 売掛金,借方,8812135,C-10007,ORD-2025-0954,SH-202511-0058,出荷連動自動仕訳,SAP自動
JV-202511-0058,2025-11-25,RV,5100 売上高,貸方,8812135,C-10007,ORD-2025-0954,SH-202511-0058,出荷連動自動仕訳,SAP自動
JV-202511-0059,2025-11-22,RV,1220 売掛金,借方,24744415,C-10006,ORD-2025-0967,SH-202511-0059,出荷連動自動仕訳,SAP自動
JV-202511-0059,2025-11-22,RV,5100 売上高,貸方,24744415,C-10006,ORD-2025-0967,SH-202511-0059,出荷連動自動仕訳,SAP自動
JV-202511-0060,2025-11-04,RV,1220 売掛金,借方,12578226,C-10006,ORD-2025-0980,SH-202511-0060,出荷連動自動仕訳,SAP自動
JV-202511-0060,2025-11-04,RV,5100 売上高,貸方,12578226,C-10006,ORD-2025-0980,SH-202511-0060,出荷連動自動仕訳,SAP自動
JV-202511-0061,2025-11-07,RV,1220 売掛金,借方,11229037,C-10006,ORD-2025-0993,SH-202511-0061,出荷連動自動仕訳,SAP自動
JV-202511-0061,2025-11-07,RV,5100 売上高,貸方,11229037,C-10006,ORD-2025-0993,SH-202511-0061,出荷連動自動仕訳,SAP自動
JV-202511-0062,2025-11-30,RV,1220 売掛金,借方,16174271,C-10017,ORD-2025-1006,SH-202511-0062,出荷連動自動仕訳,SAP自動
JV-202511-0062,2025-11-30,RV,5100 売上高,貸方,16174271,C-10017,ORD-2025-1006,SH-202511-0062,出荷連動自動仕訳,SAP自動
JV-202511-0063,2025-11-07,RV,1220 売掛金,借方,16883715,C-10005,ORD-2025-1019,SH-202511-0063,出荷連動自動仕訳,SAP自動
JV-202511-0063,2025-11-07,RV,5100 売上高,貸方,16883715,C-10005,ORD-2025-1019,SH-202511-0063,出荷連動自動仕訳,SAP自動
JV-202511-0064,2025-11-11,RV,1220 売掛金,借方,22692345,C-10005,ORD-2025-1032,SH-202511-0064,出荷連動自動仕訳,SAP自動
JV-202511-0064,2025-11-11,RV,5100 売上高,貸方,22692345,C-10005,ORD-2025-1032,SH-202511-0064,出荷連動自動仕訳,SAP自動

# 仕訳件数: 64件（借方・貸方ペア128行）
