# SAP S/4HANA - MM/CO Period Close Log
# Report:   Transaction MMPV + Related Period Close Steps
# Period:   FY2025 (2025/4 - 2026/3)
# Export:   2026-04-10 10:00:00 JST

対象月,ステップID,トランザクション,ステップ名,開始時刻,終了時刻,所要秒数,結果,実行ユーザ,ジョブ番号
2025-08,CO_04,KSU5,間接費配賦実行,2025-09-03 20:40:00,2025-09-03 20:45:29,329,SUCCESS,SAP_BATCH,JOB_202508_CO_04
2025-08,FI_01,F.01,試算表作成,2025-09-03 19:46:00,2025-09-03 19:48:44,164,SUCCESS,SAP_BATCH,JOB_202508_FI_01
2025-08,FI_02,F.13,自動クリアリング,2025-09-03 19:39:00,2025-09-03 19:42:50,230,SUCCESS,SAP_BATCH,JOB_202508_FI_02
2025-09,MM_01,MMPV,在庫評価期間の切替,2025-10-03 19:36:00,2025-10-03 19:37:11,71,SUCCESS,SAP_BATCH,JOB_202509_MM_01
2025-09,MM_02,MMRV,在庫評価期間確認,2025-10-03 19:36:00,2025-10-03 19:36:20,20,SUCCESS,SAP_BATCH,JOB_202509_MM_02
2025-09,MM_03,MB5B,期末在庫集計,2025-10-03 20:24:00,2025-10-03 20:29:50,350,SUCCESS,SAP_BATCH,JOB_202509_MM_03
2025-09,MM_04,MB52,在庫残高検証,2025-10-03 20:28:00,2025-10-03 20:30:49,169,SUCCESS,SAP_BATCH,JOB_202509_MM_04
2025-09,CO_01,KKS1,製品別差異計算,2025-10-03 19:36:00,2025-10-03 19:44:43,523,SUCCESS,SAP_BATCH,JOB_202509_CO_01
2025-09,CO_02,CO88,原価差異配賦（単一レベル）,2025-10-03 19:39:00,2025-10-03 19:45:13,373,SUCCESS,SAP_BATCH,JOB_202509_CO_02
2025-09,CO_03,CON2,連結原価評価,2025-10-03 20:23:00,2025-10-03 20:26:43,223,SUCCESS,SAP_BATCH,JOB_202509_CO_03
2025-09,CO_04,KSU5,間接費配賦実行,2025-10-03 20:20:00,2025-10-03 20:26:32,392,SUCCESS,SAP_BATCH,JOB_202509_CO_04
2025-09,FI_01,F.01,試算表作成,2025-10-03 19:39:00,2025-10-03 19:42:03,183,SUCCESS,SAP_BATCH,JOB_202509_FI_01
2025-09,FI_02,F.13,自動クリアリング,2025-10-03 20:06:00,2025-10-03 20:10:17,257,SUCCESS,SAP_BATCH,JOB_202509_FI_02
2025-10,MM_01,MMPV,在庫評価期間の切替,2025-11-03 19:38:00,2025-11-03 19:39:53,113,SUCCESS,SAP_BATCH,JOB_202510_MM_01
2025-10,MM_02,MMRV,在庫評価期間確認,2025-11-03 20:06:00,2025-11-03 20:06:23,23,SUCCESS,SAP_BATCH,JOB_202510_MM_02
2025-10,MM_03,MB5B,期末在庫集計,2025-11-03 20:11:00,2025-11-03 20:14:47,227,SUCCESS,SAP_BATCH,JOB_202510_MM_03
2025-10,MM_04,MB52,在庫残高検証,2025-11-03 20:33:00,2025-11-03 20:36:11,191,SUCCESS,SAP_BATCH,JOB_202510_MM_04
2025-10,CO_01,KKS1,製品別差異計算,2025-11-03 19:32:00,2025-11-03 19:39:08,428,SUCCESS,SAP_BATCH,JOB_202510_CO_01
2025-10,CO_02,CO88,原価差異配賦（単一レベル）,2025-11-03 19:50:00,2025-11-03 19:55:13,313,SUCCESS,SAP_BATCH,JOB_202510_CO_02
2025-10,CO_03,CON2,連結原価評価,2025-11-03 20:22:00,2025-11-03 20:25:03,183,SUCCESS,SAP_BATCH,JOB_202510_CO_03
2025-10,CO_04,KSU5,間接費配賦実行,2025-11-03 20:17:00,2025-11-03 20:22:28,328,SUCCESS,SAP_BATCH,JOB_202510_CO_04
2025-10,FI_01,F.01,試算表作成,2025-11-03 19:41:00,2025-11-03 19:44:23,203,SUCCESS,SAP_BATCH,JOB_202510_FI_01
2025-10,FI_02,F.13,自動クリアリング,2025-11-03 19:50:00,2025-11-03 19:54:59,299,SUCCESS,SAP_BATCH,JOB_202510_FI_02
2025-11,MM_01,MMPV,在庫評価期間の切替,2025-12-03 19:41:00,2025-12-03 19:42:47,107,SUCCESS,SAP_BATCH,JOB_202511_MM_01
2025-11,MM_02,MMRV,在庫評価期間確認,2025-12-03 19:40:00,2025-12-03 19:40:16,16,SUCCESS,SAP_BATCH,JOB_202511_MM_02
2025-11,MM_03,MB5B,期末在庫集計,2025-12-03 20:09:00,2025-12-03 20:12:25,205,SUCCESS,SAP_BATCH,JOB_202511_MM_03
2025-11,MM_04,MB52,在庫残高検証,2025-12-03 20:18:00,2025-12-03 20:21:12,192,SUCCESS,SAP_BATCH,JOB_202511_MM_04
2025-11,CO_01,KKS1,製品別差異計算,2025-12-03 19:43:00,2025-12-03 19:50:20,440,SUCCESS,SAP_BATCH,JOB_202511_CO_01
2025-11,CO_02,CO88,原価差異配賦（単一レベル）,2025-12-03 19:56:00,2025-12-03 20:01:03,303,SUCCESS,SAP_BATCH,JOB_202511_CO_02
2025-11,CO_03,CON2,連結原価評価,2025-12-03 20:22:00,2025-12-03 20:25:15,195,SUCCESS,SAP_BATCH,JOB_202511_CO_03
2025-11,CO_04,KSU5,間接費配賦実行,2025-12-03 20:37:00,2025-12-03 20:43:46,406,SUCCESS,SAP_BATCH,JOB_202511_CO_04
2025-11,FI_01,F.01,試算表作成,2025-12-03 19:45:00,2025-12-03 19:47:11,131,SUCCESS,SAP_BATCH,JOB_202511_FI_01
2025-11,FI_02,F.13,自動クリアリング,2025-12-03 19:51:00,2025-12-03 19:55:38,278,SUCCESS,SAP_BATCH,JOB_202511_FI_02
2025-12,MM_01,MMPV,在庫評価期間の切替,2026-01-03 19:18:00,2026-01-03 19:19:16,76,SUCCESS,SAP_BATCH,JOB_202512_MM_01
2025-12,MM_02,MMRV,在庫評価期間確認,2026-01-03 19:42:00,2026-01-03 19:42:48,48,SUCCESS,SAP_BATCH,JOB_202512_MM_02
2025-12,MM_03,MB5B,期末在庫集計,2026-01-03 20:15:00,2026-01-03 20:20:52,352,SUCCESS,SAP_BATCH,JOB_202512_MM_03
2025-12,MM_04,MB52,在庫残高検証,2026-01-03 20:37:00,2026-01-03 20:39:11,131,SUCCESS,SAP_BATCH,JOB_202512_MM_04
2025-12,CO_01,KKS1,製品別差異計算,2026-01-03 19:24:00,2026-01-03 19:33:31,571,SUCCESS,SAP_BATCH,JOB_202512_CO_01
2025-12,CO_02,CO88,原価差異配賦（単一レベル）,2026-01-03 19:50:00,2026-01-03 19:55:09,309,SUCCESS,SAP_BATCH,JOB_202512_CO_02
2025-12,CO_03,CON2,連結原価評価,2026-01-03 20:23:00,2026-01-03 20:28:18,318,SUCCESS,SAP_BATCH,JOB_202512_CO_03
2025-12,CO_04,KSU5,間接費配賦実行,2026-01-03 20:20:00,2026-01-03 20:25:49,349,SUCCESS,SAP_BATCH,JOB_202512_CO_04
2025-12,FI_01,F.01,試算表作成,2026-01-03 19:33:00,2026-01-03 19:35:31,151,SUCCESS,SAP_BATCH,JOB_202512_FI_01
2025-12,FI_02,F.13,自動クリアリング,2026-01-03 20:01:00,2026-01-03 20:06:46,346,SUCCESS,SAP_BATCH,JOB_202512_FI_02
2026-01,MM_01,MMPV,在庫評価期間の切替,2026-02-03 19:25:00,2026-02-03 19:26:55,115,SUCCESS,SAP_BATCH,JOB_202601_MM_01
2026-01,MM_02,MMRV,在庫評価期間確認,2026-02-03 20:06:00,2026-02-03 20:06:45,45,SUCCESS,SAP_BATCH,JOB_202601_MM_02
2026-01,MM_03,MB5B,期末在庫集計,2026-02-03 20:24:00,2026-02-03 20:29:34,334,SUCCESS,SAP_BATCH,JOB_202601_MM_03
2026-01,MM_04,MB52,在庫残高検証,2026-02-03 20:17:00,2026-02-03 20:19:09,129,SUCCESS,SAP_BATCH,JOB_202601_MM_04
2026-01,CO_01,KKS1,製品別差異計算,2026-02-03 19:25:00,2026-02-03 19:34:52,592,SUCCESS,SAP_BATCH,JOB_202601_CO_01
2026-01,CO_02,CO88,原価差異配賦（単一レベル）,2026-02-03 19:51:00,2026-02-03 19:58:38,458,SUCCESS,SAP_BATCH,JOB_202601_CO_02
2026-01,CO_03,CON2,連結原価評価,2026-02-03 20:19:00,2026-02-03 20:22:59,239,SUCCESS,SAP_BATCH,JOB_202601_CO_03
2026-01,CO_04,KSU5,間接費配賦実行,2026-02-03 20:14:00,2026-02-03 20:20:21,381,SUCCESS,SAP_BATCH,JOB_202601_CO_04
2026-01,FI_01,F.01,試算表作成,2026-02-03 19:24:00,2026-02-03 19:26:02,122,SUCCESS,SAP_BATCH,JOB_202601_FI_01
2026-01,FI_02,F.13,自動クリアリング,2026-02-03 19:37:00,2026-02-03 19:41:46,286,SUCCESS,SAP_BATCH,JOB_202601_FI_02
2026-02,MM_01,MMPV,在庫評価期間の切替,2026-03-03 19:48:00,2026-03-03 19:48:37,37,SUCCESS,SAP_BATCH,JOB_202602_MM_01
2026-02,MM_02,MMRV,在庫評価期間確認,2026-03-03 19:56:00,2026-03-03 19:56:35,35,SUCCESS,SAP_BATCH,JOB_202602_MM_02
2026-02,MM_03,MB5B,期末在庫集計,2026-03-03 20:10:00,2026-03-03 20:15:40,340,SUCCESS,SAP_BATCH,JOB_202602_MM_03
2026-02,MM_04,MB52,在庫残高検証,2026-03-03 20:39:00,2026-03-03 20:42:28,208,SUCCESS,SAP_BATCH,JOB_202602_MM_04
2026-02,CO_01,KKS1,製品別差異計算,2026-03-03 19:37:00,2026-03-03 19:47:20,620,SUCCESS,SAP_BATCH,JOB_202602_CO_01
2026-02,CO_02,CO88,原価差異配賦（単一レベル）,2026-03-03 19:56:00,2026-03-03 20:02:36,396,SUCCESS,SAP_BATCH,JOB_202602_CO_02
2026-02,CO_03,CON2,連結原価評価,2026-03-03 20:22:00,2026-03-03 20:26:40,280,SUCCESS,SAP_BATCH,JOB_202602_CO_03
2026-02,CO_04,KSU5,間接費配賦実行,2026-03-03 20:30:00,2026-03-03 20:36:04,364,SUCCESS,SAP_BATCH,JOB_202602_CO_04
2026-02,FI_01,F.01,試算表作成,2026-03-03 19:48:00,2026-03-03 19:50:47,167,SUCCESS,SAP_BATCH,JOB_202602_FI_01
2026-02,FI_02,F.13,自動クリアリング,2026-03-03 19:45:00,2026-03-03 19:48:39,219,SUCCESS,SAP_BATCH,JOB_202602_FI_02
2026-03,MM_01,MMPV,在庫評価期間の切替,2026-04-03 19:25:00,2026-04-03 19:25:54,54,SUCCESS,SAP_BATCH,JOB_202603_MM_01
2026-03,MM_02,MMRV,在庫評価期間確認,2026-04-03 19:39:00,2026-04-03 19:39:53,53,SUCCESS,SAP_BATCH,JOB_202603_MM_02
2026-03,MM_03,MB5B,期末在庫集計,2026-04-03 20:11:00,2026-04-03 20:16:17,317,SUCCESS,SAP_BATCH,JOB_202603_MM_03
2026-03,MM_04,MB52,在庫残高検証,2026-04-03 20:35:00,2026-04-03 20:38:39,219,SUCCESS,SAP_BATCH,JOB_202603_MM_04
2026-03,CO_01,KKS1,製品別差異計算,2026-04-03 19:35:00,2026-04-03 19:44:49,589,SUCCESS,SAP_BATCH,JOB_202603_CO_01
2026-03,CO_02,CO88,原価差異配賦（単一レベル）,2026-04-03 19:51:00,2026-04-03 19:57:38,398,SUCCESS,SAP_BATCH,JOB_202603_CO_02
2026-03,CO_03,CON2,連結原価評価,2026-04-03 20:11:00,2026-04-03 20:16:22,322,SUCCESS,SAP_BATCH,JOB_202603_CO_03
2026-03,CO_04,KSU5,間接費配賦実行,2026-04-03 20:15:00,2026-04-03 20:20:04,304,SUCCESS,SAP_BATCH,JOB_202603_CO_04
2026-03,FI_01,F.01,試算表作成,2026-04-03 19:44:00,2026-04-03 19:46:31,151,SUCCESS,SAP_BATCH,JOB_202603_FI_01
2026-03,FI_02,F.13,自動クリアリング,2026-04-03 19:56:00,2026-04-03 20:00:16,256,SUCCESS,SAP_BATCH,JOB_202603_FI_02

# Records: 120 (12 months x 10 steps)
