# SAP S/4HANA - FY2025 Year-end Accrual Detail
# Source:   MIGO (receipts) + MIRO (invoices) + ACC-JV (manual accruals)
# Period:   2026-03-20 to 2026-03-31 (receipts without invoice)
# Export:   2026-04-05 14:00:15 JST

№,検収番号,検収日,仕入先コード,仕入先名,検収金額,請求書到着状況,未払計上額,計上仕訳番号
37,REC-2026-5037,2026-03-21,V-20006,サンプル仕入先F社,14997037,ARRIVED,14997037,JV-ACC-202603-0037
38,REC-2026-5038,2026-03-21,V-20022,サンプル仕入先Q社,12131706,ARRIVED,12131706,JV-ACC-202603-0038
39,REC-2026-5039,2026-03-26,V-20007,サンプル仕入先G社,6656684,PENDING,6656684,JV-ACC-202603-0039
40,REC-2026-5040,2026-03-26,V-20010,サンプル仕入先J社,4997119,ARRIVED,4997119,JV-ACC-202603-0040
41,REC-2026-5041,2026-03-25,V-20010,サンプル仕入先J社,8657311,ARRIVED,8657311,JV-ACC-202603-0041
42,REC-2026-5042,2026-03-26,V-20015,サンプル仕入先O社,10164648,PENDING,10164648,JV-ACC-202603-0042
43,REC-2026-5043,2026-03-28,V-20025,サンプル仕入先T社,1377334,ARRIVED,1377334,JV-ACC-202603-0043
44,REC-2026-5044,2026-03-24,V-20005,サンプル仕入先E社,4593435,ARRIVED,4593435,JV-ACC-202603-0044
45,REC-2026-5045,2026-03-30,V-20011,サンプル仕入先K社,7992539,ARRIVED,7992539,JV-ACC-202603-0045
46,REC-2026-5046,2026-03-31,V-20015,サンプル仕入先O社,6451539,ARRIVED,6451539,JV-ACC-202603-0046
47,REC-2026-5047,2026-03-28,V-20025,サンプル仕入先T社,11507271,PENDING,11507271,JV-ACC-202603-0047
48,REC-2026-5048,2026-03-23,V-20004,サンプル仕入先D社,2927584,PENDING,2927584,JV-ACC-202603-0048
49,REC-2026-5049,2026-03-31,V-20002,サンプル仕入先B社,14822955,ARRIVED,14822955,JV-ACC-202603-0049
50,REC-2026-5050,2026-03-25,V-20021,サンプル仕入先P社,12264465,ARRIVED,12264465,JV-ACC-202603-0050
51,REC-2026-5051,2026-03-24,V-20025,サンプル仕入先T社,935054,ARRIVED,935054,JV-ACC-202603-0051
52,REC-2026-5052,2026-03-22,V-20021,サンプル仕入先P社,3153946,PENDING,3153946,JV-ACC-202603-0052
53,REC-2026-5053,2026-03-31,V-20007,サンプル仕入先G社,7942245,ARRIVED,7942245,JV-ACC-202603-0053
54,REC-2026-5054,2026-03-25,V-20012,サンプル仕入先L社,3105651,ARRIVED,3105651,JV-ACC-202603-0054
55,REC-2026-5055,2026-03-21,V-20003,サンプル仕入先C社,9438067,PENDING,9438067,JV-ACC-202603-0055
56,REC-2026-5056,2026-03-29,V-20021,サンプル仕入先P社,14070689,PENDING,14070689,JV-ACC-202603-0056
57,REC-2026-5057,2026-03-26,V-20021,サンプル仕入先P社,8735209,PENDING,8735209,JV-ACC-202603-0057
58,REC-2026-5058,2026-03-22,V-20015,サンプル仕入先O社,6833632,ARRIVED,6833632,JV-ACC-202603-0058
59,REC-2026-5059,2026-03-21,V-20022,サンプル仕入先Q社,3530315,ARRIVED,3530315,JV-ACC-202603-0059
60,REC-2026-5060,2026-03-27,V-20007,サンプル仕入先G社,723231,ARRIVED,723231,JV-ACC-202603-0060
61,REC-2026-5061,2026-03-29,V-20023,サンプル仕入先R社,700312,ARRIVED,700312,JV-ACC-202603-0061
62,REC-2026-5062,2026-03-22,V-20003,サンプル仕入先C社,995347,ARRIVED,995347,JV-ACC-202603-0062
63,REC-2026-5063,2026-03-31,V-20021,サンプル仕入先P社,7990041,PENDING,7990041,JV-ACC-202603-0063
64,REC-2026-5064,2026-03-21,V-20003,サンプル仕入先C社,2142478,ARRIVED,2142478,JV-ACC-202603-0064
65,REC-2026-5065,2026-03-26,V-20025,サンプル仕入先T社,12646519,ARRIVED,12646519,JV-ACC-202603-0065
66,REC-2026-5066,2026-03-31,V-20011,サンプル仕入先K社,13469904,ARRIVED,13469904,JV-ACC-202603-0066
67,REC-2026-5067,2026-03-20,V-20011,サンプル仕入先K社,1135547,ARRIVED,1135547,JV-ACC-202603-0067
68,REC-2026-5068,2026-03-26,V-20001,サンプル仕入先A社,11617003,PENDING,11617003,JV-ACC-202603-0068
69,REC-2026-5069,2026-03-21,V-20025,サンプル仕入先T社,554327,ARRIVED,554327,JV-ACC-202603-0069
70,REC-2026-5070,2026-03-23,V-20012,サンプル仕入先L社,6764247,ARRIVED,6764247,JV-ACC-202603-0070
71,REC-2026-5071,2026-03-23,V-20003,サンプル仕入先C社,12777765,PENDING,12777765,JV-ACC-202603-0071
72,REC-2026-5072,2026-03-24,V-20010,サンプル仕入先J社,4486881,PENDING,4486881,JV-ACC-202603-0072
73,REC-2026-5073,2026-03-30,V-20003,サンプル仕入先C社,11683174,ARRIVED,11683174,JV-ACC-202603-0073
74,REC-2026-5074,2026-03-22,V-20007,サンプル仕入先G社,8976438,ARRIVED,8976438,JV-ACC-202603-0074
75,REC-2026-5075,2026-03-20,V-20024,サンプル仕入先S社,3139046,PENDING,3139046,JV-ACC-202603-0075
76,REC-2026-5076,2026-03-29,V-20010,サンプル仕入先J社,9593507,ARRIVED,9593507,JV-ACC-202603-0076
77,REC-2026-5077,2026-03-30,V-20023,サンプル仕入先R社,11290536,PENDING,11290536,JV-ACC-202603-0077
78,REC-2026-5078,2026-03-22,V-20022,サンプル仕入先Q社,14439414,PENDING,14439414,JV-ACC-202603-0078
79,REC-2026-5079,2026-03-22,V-20012,サンプル仕入先L社,10320949,ARRIVED,10320949,JV-ACC-202603-0079
80,REC-2026-5080,2026-03-23,V-20015,サンプル仕入先O社,2843423,ARRIVED,2843423,JV-ACC-202603-0080
81,REC-2026-5081,2026-03-24,V-20001,サンプル仕入先A社,4061970,PENDING,4061970,JV-ACC-202603-0081
82,REC-2026-5082,2026-03-30,V-20003,サンプル仕入先C社,9842899,ARRIVED,9842899,JV-ACC-202603-0082
83,REC-2026-5083,2026-03-31,V-20025,サンプル仕入先T社,7495017,ARRIVED,7495017,JV-ACC-202603-0083
84,REC-2026-5084,2026-03-28,V-20021,サンプル仕入先P社,11453220,ARRIVED,11453220,JV-ACC-202603-0084
85,REC-2026-5085,2026-03-22,V-20024,サンプル仕入先S社,11888567,PENDING,11888567,JV-ACC-202603-0085
86,REC-2026-5086,2026-03-26,V-20002,サンプル仕入先B社,4760222,PENDING,4760222,JV-ACC-202603-0086
87,REC-2026-5087,2026-03-20,V-20012,サンプル仕入先L社,3119952,PENDING,3119952,JV-ACC-202603-0087

# Records: 87 (exhaustive)
